"host","host_common","aphid"
"Artemisia tridentata","Big Sagebrush","Macrosiphum coweni"
"Artemisia tridentata","Big Sagebrush","Macrosiphum flavilum"
"Artemisia tridentata","Big Sagebrush","Macrosiphum jonesii"
"Artemisia tridentata","Big Sagebrush","Macrosiphum zerohypsi"
"Artemisia tridentata","Big Sagebrush","Macrosiphum zerothermum"
"Artemisia tridentata","Big Sagebrush","Microsiphum acophorum"
"Artemisia tridentata","Big Sagebrush","Microsiphum artemisiae"
"Artemisia tridentata","Big Sagebrush","Microsiphum oregonensis"
"Artemisia tridentata","Big Sagebrush","Pseudoepameibaphis essigi"
"Artemisia tridentata","Big Sagebrush","Pseudoepameibaphis tridentatae"
"Artemisia tridentata","Big Sagebrush","Pseudoepameibaphis xenotrichis"
"Artemisia tridentata","Big Sagebrush","Pseudoepameibaphis zavilla"
"Artemisia tridentata","Big Sagebrush","Zyxaphis utahensis"
"Artemisia tripartita","Threetip Sagebrush","Macrosiphum jonesii"
"Artemisia vulgaris","Common Mug-wort","Capitophorus decampus"
"Artemisia vulgaris","Common Mug-wort","Epameibaphis utahensis"
"Artemisia vulgaris","Common Mug-wort","Macrosiphum artemisivulgaris"
"Artemisia vulgaris","Common Mug-wort","Macrosiphum filifoliae"
"Artemisia vulgaris","Common Mug-wort","Macrosiphum jonesii"
"Artemisia vulgaris","Common Mug-wort","Macrosiphum ludovicianae"
"Artemisia vulgaris","Common Mug-wort","Microsiphum artemisiae"
"Artemisia vulgaris","Common Mug-wort","Rhopalosiphum rufomaculatum"
"Asclepias","Milkweed","Aphis gossypii"
"Asclepias","Milkweed","Aphis helianthi"
"Asclepias","Milkweed","Aphis lutescens"
"Asclepias","Milkweed","Macrosiphum solanifolii"
"Asclepias","Milkweed",NA
"Asclepias","Milkweed","Aphis armoraciae"
"Asclepias subverticillata","Bedstraw Milkweed","Aphis"
"Asparagus officinalis","Asparagus and Asparagus Fern","Myzus circumflexus"
"Asparagus officinalis","Asparagus and Asparagus Fern","Myzus persicae"
"Symphyotrichum ericoides","Heath Aster","Aphis armoraciae"
"Symphyotrichum ericoides","Heath Aster","Aphis asterensis"
"Symphyotrichum ericoides","Heath Aster","Pemphigus balsamiferae"
"Symphyotrichum laeve","Smooth Aster","Macrosiphum breviscriptum"
"Symphyotrichum laeve","Smooth Aster","Macrosiphum katonkae"
"Symphyotrichum laeve","Smooth Aster","Macrosiphum tenuitarsis"
"Dieteria canescens var. leucanthemifolia","Daisyleaf Aster","Atarsos grindeliae"
"Dieteria canescens var. leucanthemifolia","Daisyleaf Aster","Macrosiphum"
"Symphyotrichum novi-belgii","New York Aster","Macrosiphum breviscriptum"
"Aster","Aster","Aphis armoraciae"
"Aster","Aster","Aphis asterensis"
"Aster","Aster","Aphis helichrysi"
"Aster","Aster","Aphis maidiradicis"
"Aster","Aster","Aphis menthae-radicis"
"Aster","Aster","Atarsos grindeliae"
"Aster","Aster","Macrosiphum atripes"
"Aster","Aster","Macrosiphum breviscriptum"
"Aster","Aster","Macrosiphum erigeronensis"
"Aster","Aster","Macrosiphum katonkae"
"Aster","Aster","Macrosiphum tenuitarsis"
"Aster","Aster","Myzus circumflexus"
"Astragalus","Milkvetch, Loco or Poisonvetch","Aphis medicaginis"
"Astragalus","Milkvetch, Loco or Poisonvetch","Macrosiphum pisi"
"Atriplex","Saltbush","Aphis tetrapteralis"
"Avena sativa","Oat","Forda olivacea"
"Avena sativa","Oat","Myzus persicae"
"Avena sativa","Oat","Rhopalosiphum fitchii"
"Avena sativa","Oat","Rhopalosiphum maidis"
"Avena sativa","Oat","Rhopalosiphum rhois"
"Avena sativa","Oat","Toxoptera graminum"
"Avena","Oat","Aphis maidis"
"Avena","Oat","Forda olivacea"
"Avena","Oat","Macrosiphum dirhodum"
"Avena","Oat","Macrosiphum granarium"
"Avena","Oat","Rhopalosiphum rhois"
"Begonia","Begonia","Aphis gossypii"
